lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15,date,target_next_price
0.0,0.0,0.6710683,0.0,2.192476,0.0,0.0,1.2123132,0.0,0.007056944,0.0,0.0,0.0,0.4243161,0.0,0.0,1999-09,-2.0912547528517136
0.0,0.0,0.7276005,0.0,2.339093,0.0,0.0,1.2775176,0.0,0.0,0.0,0.0,0.0,0.40008867,0.0,0.0,1999-10,-0.3883495145631123
0.0,0.0,0.6353838,0.0,2.2013528,0.0,0.0,1.2198048,0.0,0.013521586,0.0,0.0,0.0,0.49311203,0.0,0.0,1999-11,-1.7543859649122782
0.0,0.0,0.32666543,0.0,1.6770984,0.0,0.0,1.0008444,0.0,0.17299965,0.0,0.0,0.0,0.74035937,0.0,0.0,1999-12,3.3730158730158792
0.0,0.0,0.0,0.0,0.9782588,0.0,0.0,0.70355946,0.0,0.37109917,0.0,0.0,0.0,1.0092511,0.06860212,0.0,2000-01,0.1919385796545132
0.0,0.0,0.0,0.0,0.6097705,0.0,0.0,0.5461012,0.0,0.46376097,0.0,0.0,0.0,1.1173418,0.11532728,0.0,2000-02,-0.9578544061302682
0.0,0.0,0.0,0.0,0.34188718,0.0,0.0,0.44551903,0.0,0.5433685,0.0,0.0,0.0,1.1711186,0.13660243,0.035954632,2000-03,0.1934235976789058
0.0,0.0,0.0,0.0,0.21517149,0.0,0.0,0.4058961,0.0036143921,0.5851283,0.0,0.0,0.0,1.1742262,0.13259885,0.08958765,2000-04,1.9305019305019304
0.0,0.0,0.0,0.0,0.36166108,0.0,0.0,0.46437997,0.01305528,0.5367983,0.0,0.0,0.0,1.0994226,0.083086714,0.01344876,2000-05,-2.6515151515151487
0.0,0.0,0.0,0.0,0.71056336,0.0,0.0,0.60190946,0.0,0.42754984,0.0,0.0,0.0,0.96560323,0.0,0.0,2000-06,-3.1128404669260727
0.0,0.0,0.07437116,0.0,1.1042352,0.0,0.0,0.76672745,0.0,0.3182898,0.0,0.0,0.0,0.8295665,0.0,0.0,2000-07,-2.409638554216859
0.0,0.0,0.5090739,0.0,1.8692645,0.0,0.0,1.0709081,0.0,0.0875646,0.0,0.0,0.0,0.5478902,0.0,0.0,2000-08,1.6460905349794182
0.0,0.0,0.823199,0.0,2.4607563,0.0,0.0,1.3086303,0.0,0.0,0.0,0.0,0.0,0.32803,0.0,0.0,2000-09,3.643724696356284
0.0,0.0,0.7269475,0.0,2.3608937,0.0,0.0,1.2912756,0.0,0.0,0.0,0.0,0.0,0.4218393,0.0,0.0,2000-10,1.7578124999999971
0.0,0.0,0.4070627,0.0,1.839357,0.0,0.0,1.0867884,0.0,0.14118578,0.0,0.0,0.0,0.6771072,0.0,0.0,2000-11,3.0710172744721715
0.0,0.0,0.11969725,0.0,1.3408339,0.0,0.0,0.8670094,0.0,0.28482723,0.0,0.0,0.0,0.8875502,0.01803565,0.0,2000-12,0.372439478584722
0.0,0.0,0.0,0.0,0.79150224,0.0,0.0,0.62634337,0.0,0.43092147,0.0,0.0,0.0,1.0745085,0.09456163,0.0,2001-01,-1.669758812615953
0.0,0.0,0.0,0.0,0.42683962,0.0,0.0,0.47514158,0.0,0.5251152,0.0,0.0,0.0,1.1669195,0.13807395,0.0078083947,2001-02,-1.5094339622641455
0.0,0.0,0.0,0.0,0.259266,0.0,0.0,0.409804,0.0,0.5657642,0.0,0.0,0.0,1.1836848,0.1476301,0.068131015,2001-03,-2.298850574712649
0.0,0.0,0.0,0.0,0.15121189,0.0,0.0,0.3786853,0.019801203,0.60148686,0.0,0.0,0.0,1.177885,0.13963324,0.11506172,2001-04,1.3725490196078487
0.0,0.0,0.0,0.0,0.20990402,0.0,0.0,0.41535044,0.046085488,0.59203297,0.0,0.0,0.0,1.1320843,0.10386332,0.09126824,2001-05,-1.3539651837524231
0.0,0.0,0.0,0.0,0.49136993,0.0,0.0,0.53205085,0.023458071,0.51259077,0.0,0.0,0.0,1.0242735,0.03037826,0.0,2001-06,1.3725490196078487
0.0,0.0,0.04898706,0.0,1.0640303,0.0,0.0,0.75457084,0.0,0.34133297,0.0,0.0,0.0,0.82043964,0.0,0.0,2001-07,-0.1934235976789195
0.0,0.0,0.63524616,0.0,2.0861871,0.0,0.0,1.1522309,0.0,0.027861027,0.0,0.0,0.0,0.43436593,0.0,0.0,2001-08,-0.7751937984496096
0.0,0.0,0.8122853,0.0,2.4630325,0.0,0.0,1.3159933,0.0,0.0,0.0,0.0,0.0,0.31784064,0.0,0.0,2001-09,-0.3906250000000055
0.0,0.0,0.79083157,0.0,2.4912164,0.0,0.0,1.3416829,0.0,0.0,0.0,0.0,0.0,0.35778317,0.0,0.0,2001-10,1.7647058823529385
0.0,0.0,0.39609846,0.0,1.8507456,0.0,0.0,1.0942086,0.0,0.16239987,0.0,0.0,0.0,0.669843,0.0,0.0,2001-11,0.192678227360311
0.0,0.0,0.031455874,0.0,1.2280816,0.0,0.0,0.8267292,0.0,0.3421213,0.0,0.0,0.0,0.9319831,0.033431433,0.0,2001-12,-0.5769230769230715
0.0,0.0,0.0,0.0,0.652827,0.0,0.0,0.57862777,0.0,0.49046382,0.0,0.0,0.0,1.1237794,0.11161,0.0,2002-01,-2.514506769825927
0.0,0.0,0.0,0.0,0.2835034,0.0,0.0,0.429406,0.0,0.58646303,0.0,0.0,0.0,1.2105798,0.15395081,0.0817381,2002-02,-1.5873015873015817
0.0,0.0,0.0,0.0,0.09093943,0.0,0.0,0.36109325,0.0,0.6373774,0.0,0.0,0.0,1.2356439,0.16709462,0.16215831,2002-03,-0.6048387096774279
0.0,0.0,0.0,0.0,0.022385005,0.0,0.0,0.34464824,0.017457295,0.6560679,0.0,0.0,0.0,1.2265706,0.16039929,0.19307396,2002-04,1.8255578093306408
0.0,0.0,0.0,0.0,0.11108178,0.0,0.0,0.38594854,0.039824937,0.6295018,0.0,0.0,0.0,1.1785262,0.12745196,0.146853,2002-05,3.5856573705179224
0.0,0.0,0.0,0.0,0.3908592,0.0,0.0,0.49673837,0.026666164,0.54375595,0.0,0.0,0.0,1.0761518,0.05607295,0.016287833,2002-06,5.000000000000003
0.0,0.0,0.0,0.0,0.95521635,0.0,0.0,0.71163684,0.0,0.36514515,0.0,0.0,0.0,0.8771923,0.0,0.0,2002-07,6.41025641025641
0.0,0.0,0.6541968,0.0,2.0620296,0.0,0.0,1.1271652,0.0,0.0027289726,0.0,0.0,0.0,0.4372911,0.0,0.0,2002-08,9.81067125645438
0.0,0.0,0.82387745,0.0,2.4367788,0.0,0.0,1.2984071,0.0,0.0,0.0,0.0,0.0,0.3293264,0.0,0.0,2002-09,0.9404388714733676
0.0,0.0,0.9015306,0.0,2.6450472,0.0,0.0,1.3947858,0.0,0.0,0.0,0.0,0.0,0.29128483,0.0,0.0,2002-10,-2.1739130434782696
0.0,0.0,0.6476748,0.0,2.2489574,0.0,0.0,1.2481278,0.0,0.0,0.0,0.0,0.0,0.5042163,0.0,0.0,2002-11,-5.079365079365084
0.0,0.0,0.31317973,0.0,1.6702431,0.0,0.0,0.9996667,0.0,0.1734845,0.0,0.0,0.0,0.75905234,0.0,0.0,2002-12,-3.010033444816049
0.0,0.0,0.0,0.0,0.97426784,0.0,0.0,0.6968367,0.0,0.36729538,0.0,0.0,0.0,1.0143276,0.07952721,0.0,2003-01,-0.3448275862069014
0.0,0.0,0.0,0.0,0.4868343,0.0,0.0,0.49561793,0.0,0.50144064,0.0,0.0,0.0,1.1464772,0.13265052,0.0,2003-02,-2.249134948096881
0.0,0.0,0.0,0.0,0.22830375,0.0,0.0,0.3995818,0.0,0.5765039,0.0,0.0,0.0,1.1845239,0.14951035,0.085594065,2003-03,-0.1769911504424804
0.0,0.0,0.0,0.0,0.1391707,0.0,0.0,0.37149748,0.026903056,0.6019076,0.0,0.0,0.0,1.1664419,0.137416,0.118454896,2003-04,3.191489361702135
0.0,0.0,0.0,0.0,0.21904533,0.0,0.0,0.40882987,0.05233467,0.57959163,0.0,0.0,0.0,1.1036826,0.095659904,0.074527025,2003-05,-0.8591065292096219
0.0,0.0,0.0,0.0,0.5086515,0.0,0.0,0.5222023,0.025289323,0.49265847,0.0,0.0,0.0,0.97642696,0.016444005,0.0,2003-06,-2.0797227036395194
0.0,0.0,0.08929068,0.0,1.0674286,0.0,0.0,0.7375765,0.0,0.32483292,0.0,0.0,0.0,0.76170576,0.0,0.0,2003-07,6.017699115044245
0.0,0.0,0.3996091,0.0,1.6416366,0.0,0.0,0.9791282,0.0,0.17070147,0.0,0.0,0.0,0.5655931,0.0,0.0,2003-08,1.0016694490818054
